REPORTE POST-LIMPIEZA REGLAS TEMPORALES/NUTRICIONALES
==============================================================
Fecha: 2026-05-23 18:02:49

Resumen por tipo/accion
- TEMPORAL | Disminuir | 78
- TEMPORAL | Eliminar | 53
- TEMPORAL | Priorizar | 102
- NUTRICIONAL | Disminuir | 32
- NUTRICIONAL | Eliminar | 9
- NUTRICIONAL | Priorizar | 87

Detalle por condicion
- TEMPORAL | id=9 | Estreñimiento temporal | estreñimiento_temporal | Disminuir | 6
- NUTRICIONAL | id=111 | Posible riesgo de sobrepeso | BMI | Eliminar | 1
- NUTRICIONAL | id=111 | Posible riesgo de sobrepeso | BMI | Priorizar | 3
- NUTRICIONAL | id=112 | Talla normal | HFA | Disminuir | 1
- NUTRICIONAL | id=112 | Talla normal | HFA | Priorizar | 5
- NUTRICIONAL | id=117 | Talla alta | HFA | Disminuir | 2
- NUTRICIONAL | id=117 | Talla alta | HFA | Priorizar | 3
- NUTRICIONAL | id=118 | Delgadez severa | BMI | Disminuir | 1
- NUTRICIONAL | id=118 | Delgadez severa | BMI | Priorizar | 5
- NUTRICIONAL | id=119 | Delgadez | BMI | Disminuir | 1
- NUTRICIONAL | id=119 | Delgadez | BMI | Priorizar | 5
- NUTRICIONAL | id=122 | Sobrepeso | BMI | Disminuir | 3
- NUTRICIONAL | id=122 | Sobrepeso | BMI | Eliminar | 1
- NUTRICIONAL | id=122 | Sobrepeso | BMI | Priorizar | 5
- NUTRICIONAL | id=123 | Obesidad | BMI | Disminuir | 2
- NUTRICIONAL | id=123 | Obesidad | BMI | Eliminar | 2
- NUTRICIONAL | id=123 | Obesidad | BMI | Priorizar | 4
- NUTRICIONAL | id=124 | Talla baja severa | HFA | Disminuir | 1
- NUTRICIONAL | id=124 | Talla baja severa | HFA | Priorizar | 6
- NUTRICIONAL | id=125 | Talla baja | HFA | Disminuir | 2
- NUTRICIONAL | id=125 | Talla baja | HFA | Priorizar | 7
