source_file,ref_code_detectado,tipo_tabla,sexo,usado_en_csv_limpio,filas_datos,columnas,primer_valor_clave,ultimo_valor_clave,sha256,nota
hfa-girls-z-who-2007-exp (1).xlsx,HFA,zscore,F,SI,168,15,61,228,df07ee16d3d2916569f1d869b7c874d7b880a41321d871215ed0254cb16679b3,canónico importado
hfa-girls-z-who-2007-exp_7ea58763-36a2-436d-bef0-7fcfbadd2820 (1).xlsx,WFA,zscore,F,SI,60,13,61,120,d747e068fcef4238cbaf1c201dd7788f266d9903685f4495360614eed0153562,"canónico importado; el nombre original dice hfa, pero los valores corresponden a peso/edad 5-10 años"
lhfa-boys-percentiles-expanded-tables (1).xlsx,LHFA,percentil,M,SI,1857,19,0,1856,8e163405223fcdf749f6689a8b8233d15182117c8a8b87f46c957fcfc498c7f2,canónico importado
lhfa-boys-zscore-expanded-tables (1).xlsx,LHFA,zscore,M,SI,1857,13,0,1856,c4b1c9029ab9751a5f0888e32f35c7c0287a16d361885cf911ecf23b3f7f6b4f,canónico importado
lhfa-girls-percentiles-expanded-tables (1).xlsx,LHFA,percentil,F,SI,1857,19,0,1856,92b5b0306d87f32eeb1d0c68f32aceda55121ff9a2600af517ba2a5b8dc84851,canónico importado
lhfa-girls-zscore-expanded-tables (1).xlsx,LHFA,zscore,F,SI,1857,13,0,1856,6aa2876319449a6b1f4d825848128902114ff53c67b92b86a0c5140846013059,canónico importado
wfh-boys-percentiles-expanded-tables (1).xlsx,WFH,percentil,M,NO,551,19,65,120,ac6d18ef3790e242aff64b42e66337942219188998c9dc5207588ff035a39e8a,duplicado o copia no importada
wfh-boys-percentiles-expanded-tables.xlsx,WFH,percentil,M,SI,551,19,65,120,ac6d18ef3790e242aff64b42e66337942219188998c9dc5207588ff035a39e8a,canónico importado
wfh-boys-zscore-expanded-tables (1).xlsx,WFH,zscore,M,NO,551,13,65,120,ed3b590f9c65937a138408b13618f33684bb6406a0c56d6a2ce3fd9053a3f59f,duplicado o copia no importada
wfh-boys-zscore-expanded-tables.xlsx,WFH,zscore,M,SI,551,13,65,120,ed3b590f9c65937a138408b13618f33684bb6406a0c56d6a2ce3fd9053a3f59f,canónico importado
wfh-girls-percentiles-expanded-tables (1).xlsx,WFH,percentil,F,NO,551,19,65,120,27803da855d1fcb560708958b7aabb3fd5eb72ce0a5e3b47aab43e28e7f4a5b4,duplicado o copia no importada
wfh-girls-percentiles-expanded-tables.xlsx,WFH,percentil,F,SI,551,19,65,120,27803da855d1fcb560708958b7aabb3fd5eb72ce0a5e3b47aab43e28e7f4a5b4,canónico importado
wfh-girls-zscore-expanded-tables (1).xlsx,WFH,zscore,F,NO,551,13,65,120,fca340d5f04aa1556ac410b176b65b290e1b9ff467fc854a97f9b54ad94c9b8a,duplicado o copia no importada
wfh-girls-zscore-expanded-tables.xlsx,WFH,zscore,F,SI,551,13,65,120,fca340d5f04aa1556ac410b176b65b290e1b9ff467fc854a97f9b54ad94c9b8a,canónico importado
wfl-boys-percentiles-expanded-tables (1).xlsx,WFL,percentil,M,NO,651,19,45,110,388fe58e33ab9a27459ac3cac2b892bc9b2b61fe8d53e9c9b4d9191f9422aa8c,duplicado o copia no importada
wfl-boys-percentiles-expanded-tables.xlsx,WFL,percentil,M,SI,651,19,45,110,388fe58e33ab9a27459ac3cac2b892bc9b2b61fe8d53e9c9b4d9191f9422aa8c,canónico importado
wfl-boys-zscore-expanded-table (1).xlsx,WFL,zscore,M,NO,651,13,45,110,1a6e9a002d2692d038161bc6572a10f8b9fa0657163808141d2981a2132c59cc,duplicado o copia no importada
wfl-boys-zscore-expanded-table.xlsx,WFL,zscore,M,SI,651,13,45,110,1a6e9a002d2692d038161bc6572a10f8b9fa0657163808141d2981a2132c59cc,canónico importado
wfl-girls-percentiles-expanded-tables (1).xlsx,WFL,percentil,F,NO,651,19,45,110,2fb6f867050854db19c06a1b0131e07ac02b904d1367ec0a444b1360f6335035,duplicado o copia no importada
wfl-girls-percentiles-expanded-tables.xlsx,WFL,percentil,F,SI,651,19,45,110,2fb6f867050854db19c06a1b0131e07ac02b904d1367ec0a444b1360f6335035,canónico importado
wfl-girls-zscore-expanded-table (1).xlsx,WFL,zscore,F,NO,651,13,45,110,ec116b8e618ad311d34a87231346badf16c75f5c4f82222ec846e05c582bf16a,duplicado o copia no importada
wfl-girls-zscore-expanded-table.xlsx,WFL,zscore,F,SI,651,13,45,110,ec116b8e618ad311d34a87231346badf16c75f5c4f82222ec846e05c582bf16a,canónico importado
